zip3,n_apps,observed_declines,expected_declines,var,observed_rate,expected_rate,excess_rate_pp,z,flagged
110,584,213.0,204.78865354182355,30.90679754948451,0.3647260273972603,0.3506655026401088,1.4060524757151471,1.4770233901297303,False
344,908,429.0,418.6454584267134,50.09340675844334,0.4724669603524229,0.4610632802056315,1.140368014679144,1.462987421003243,False
080,3095,1178.0,1159.127457044688,171.61766244053052,0.38061389337641355,0.3745161412099154,0.609775216649816,1.4406199722846136,False
066,712,308.0,298.6355413457595,43.53146627652333,0.43258426966292135,0.4194319400923589,1.3152329570562449,1.419322307397562,False
720,974,489.0,479.0254334302105,50.91818985706647,0.502053388090349,0.4918125599899492,1.0240828100399835,1.3978402935256273,False
784,567,272.0,264.38525993305376,29.86105865533889,0.47971781305114636,0.46628793638986554,1.3429876661280815,1.3934855923360807,False
314,500,250.0,243.1007494210594,24.622360424915115,0.5,0.4862014988421188,1.3798501157881227,1.390391411810196,False
700,1365,614.0,602.54941754268,68.3902549465997,0.44981684981684983,0.4414281447199121,0.8388705096937732,1.3846195750743078,False
486,581,269.0,261.5767830525647,28.743661881525263,0.4629948364888124,0.45021821523677225,1.2776621252040155,1.3845897283920148,False
916,674,264.0,255.05606165165273,42.020994910398514,0.3916913946587537,0.378421456456458,1.3269938202295661,1.3797348419777735,False
320,1269,539.0,527.3994030134968,71.25919881688431,0.4247438928289992,0.4156023664408958,0.9141526388103394,1.3742314132220976,False
960,592,257.0,248.9357670825698,36.33629107194359,0.4341216216216216,0.42049960655839497,1.3622015063226633,1.3378048466853552,False
315,565,289.0,281.9239954385358,28.87950692465739,0.511504424778761,0.4989805229000634,1.2523901878697619,1.316719348047306,False
326,640,291.0,283.0662060102869,36.537718530126796,0.4546875,0.4422909468910733,1.2396553108926733,1.3125329245665949,False
329,1496,614.0,601.8006766168963,87.34730864880088,0.410427807486631,0.4022731795567489,0.8154627929882086,1.3053019290962318,False
377,503,267.0,260.11938310470714,27.830895401005506,0.5308151093439364,0.5171359505063761,1.3679158837560323,1.304258837020178,False
175,512,221.0,213.93728334282733,29.34223944011108,0.431640625,0.4178462565289596,1.3794368471040375,1.3038425660012913,False
107,767,285.0,276.4138784536803,43.592140018121825,0.37157757496740546,0.3603831531338726,1.1194421833532864,1.3004478386268845,False
935,1395,581.0,570.2899563994375,70.40362709833562,0.4164874551971326,0.4088100045874104,0.7677450609722192,1.2764203568068695,False
136,527,228.0,221.37343283759301,28.457966833279208,0.43263757115749524,0.4200634399195313,1.2574131237963915,1.242186112580762,False
622,879,377.0,368.6285925414528,48.13986893403329,0.42889647326507396,0.41937268776046965,0.952378550460431,1.2065519584976225,False
307,628,282.0,275.07542484190463,33.03433650428718,0.44904458598726116,0.438018192423415,1.102639356384616,1.204787184358534,False
173,684,308.0,300.7366828051213,36.400679002139775,0.4502923976608187,0.43967351287298434,1.0618884787834348,1.2038718738931284,False
086,615,246.0,239.2009852449083,32.35688689607122,0.4,0.38894469145513544,1.1055308544864584,1.1952606396053491,False
294,1677,816.0,804.7879062964023,88.84613030945809,0.4865831842576029,0.4798973800217068,0.6685804235896098,1.189508254748778,False
395,692,359.0,352.01004575508284,34.59317950365654,0.5187861271676301,0.5086850372183278,1.0101089949302255,1.188445013399459,False
339,1691,699.0,687.2372133035068,100.94199425895583,0.413364872856298,0.40640876008486504,0.6956112771432987,1.1707772676809618,False
105,1530,486.0,475.00872624755743,88.28629446088435,0.3176470588235294,0.31046321976964536,0.7183839053884034,1.1697724266671452,False
351,729,333.0,325.9930610379881,36.754435619031554,0.4567901234567901,0.44717841020300153,0.9611713253788567,1.1557754229848787,False
148,503,219.0,212.72810000182673,30.2050255532043,0.43538767395626243,0.4229186878763951,1.246898607986735,1.141194109829571,False
454,826,388.0,380.4935714871806,44.36677168583792,0.46973365617433416,0.46064597032346316,0.9087685850870997,1.1269494568680418,False
317,573,308.0,302.12557263513196,28.601790706153253,0.537521815008726,0.5272697602707364,1.0252054737989624,1.0984212498672246,False
125,1106,444.0,435.54995071917807,62.33218590443637,0.4014466546112116,0.39380646538804526,0.7640189223166338,1.070293931801939,False
953,2456,945.0,932.7403151845211,132.40673567624214,0.38477198697068404,0.37978025862561937,0.4991728345064672,1.0654283915477851,False
368,622,330.0,324.4110189327872,28.850222015861835,0.5305466237942122,0.521561123686153,0.8985500108059208,1.0405382720598126,False
927,844,338.0,330.5125556137169,52.27820250425912,0.4004739336492891,0.3916025540446883,0.8871379604600826,1.0355552774824806,False
435,578,235.0,229.45178483264695,29.757465593191455,0.40657439446366783,0.39697540628485634,0.9598988178811496,1.017080493744583,False
292,702,336.0,330.0511286567701,34.972882419936774,0.47863247863247865,0.470158302929872,0.8474175702606668,1.005932553060498,False
212,2801,1257.0,1244.5305392244547,155.31802650904785,0.44876829703677257,0.4443165081129792,0.4451788923793387,1.0005452662166894,False
751,1978,868.0,857.9815141580526,104.51375738592088,0.43882709807886755,0.43376214062591134,0.5064957452956209,0.9799758156569262,False
995,720,298.0,292.0462075191084,37.52567094940884,0.41388888888888886,0.40561973266542833,0.8269156223460528,0.9719176304423888,False
180,1240,502.0,493.8641402377796,70.74385568721786,0.40483870967741936,0.3982775324498223,0.6561177227597081,0.9672953299080624,False
120,891,360.0,353.2138982578455,49.46144489129723,0.40404040404040403,0.39642412823551687,0.7616275804887163,0.9649103550309998,False
103,1490,518.0,509.23075172883296,83.34260735650413,0.3476510067114094,0.3417656051871362,0.5885401524273193,0.9605695695166135,False
207,3174,1345.0,1332.800562121071,164.38232816559562,0.423755513547574,0.4199119603406021,0.3843553206971939,0.9515075886793749,False
349,1195,497.0,489.16020930370667,68.5482400412825,0.41589958158995816,0.40933908728343654,0.6560494306521614,0.9469047906649858,False
954,992,363.0,355.6422513489175,61.75980893799215,0.3659274193548387,0.3585103340210862,0.7417085333752516,0.9362503129449099,False
781,856,421.0,414.93269962034236,43.01378390519002,0.49182242990654207,0.48473446217329713,0.7087967733244938,0.9251063713881302,False
293,783,414.0,408.2411306751158,40.21406812137823,0.5287356321839081,0.5213807543743497,0.7354877809558347,0.908130411075697,False
238,836,379.0,373.2793237431497,42.838306787175206,0.4533492822966507,0.44650636811381544,0.684291418283528,0.8740398274332751,False
936,970,376.0,369.8817971943054,51.312106618289825,0.38762886597938145,0.38132144040650046,0.6307425572880998,0.8541102747411559,False
015,924,315.0,308.5783938142231,56.97219964212271,0.3409090909090909,0.3339593006647436,0.6949790244347276,0.8507700141904181,False
544,550,249.0,244.23817509285138,31.726707062472748,0.4527272727272727,0.44406940925972976,0.8657863467542937,0.8453974294302903,False
132,553,239.0,234.50633755072343,30.148172742867608,0.4321880650994575,0.4240620932201147,0.812597187934283,0.8184081561903258,False
933,1259,507.0,500.4410855647235,66.01243925254059,0.40270055599682286,0.3974909337289305,0.5209622267892344,0.8072704860718255,False
170,1084,475.0,468.63539570432926,62.448373225784024,0.4381918819188192,0.43232047574200116,0.5871406176818028,0.8053985489538973,False
754,755,344.0,339.0952626685961,38.92716377368656,0.4556291390728477,0.4491327982365511,0.6496340836296577,0.7861209548343501,False
224,629,238.0,233.23874364399552,37.19255404926112,0.3783783783783784,0.3708088134244762,0.7569564953902208,0.7807168703059435,False
630,1404,584.0,577.3062412128342,78.37468435253254,0.41595441595441596,0.4111867814906226,0.47676344637933576,0.7561050799507526,False
444,678,312.0,307.6557256898393,34.48037648202309,0.46017699115044247,0.4537695069171671,0.6407484233275362,0.7398288119491866,False
067,937,363.0,357.6556949189092,53.49818649030657,0.3874066168623266,0.3817029828376832,0.5703634024643356,0.7306707326477682,False
278,890,430.0,425.24393814030435,43.2223545023767,0.48314606741573035,0.47780217768573524,0.534388972999511,0.7234246188063795,False
484,829,352.0,347.2833817662219,44.40102602144229,0.42460796139927626,0.4189184339761422,0.5689527423134055,0.7078385684365552,False
770,5614,2546.0,2533.487030357542,313.78918726097754,0.4535090844317777,0.45128019778367334,0.22288866481043335,0.7063848947514826,False
974,933,375.0,369.6080292966641,59.1676405586106,0.40192926045016075,0.39615008499106547,0.5779175459095287,0.700979630677551,False
121,694,285.0,280.73511756124833,37.97857111084072,0.4106628242074928,0.40451746046289383,0.6145363744598953,0.6920504475861405,False
296,1873,879.0,872.1541301679952,102.6202191668138,0.46930058729311264,0.4656455580181501,0.3655029274962529,0.6757906336710202,False
061,643,282.0,278.09543320258814,33.38743132061267,0.4385692068429238,0.4324967856960935,0.6072421146830265,0.6757426849810058,False
306,783,349.0,344.6605613501383,41.907051668250574,0.44572158365261816,0.4401795164114155,0.5542067241202653,0.6703320725078122,False
350,1016,462.0,457.27141793838433,50.07851513833168,0.4547244094488189,0.45007029324644127,0.4654116202377656,0.6681980574020386,False
357,540,224.0,220.6747294845783,26.79465500918259,0.4148148148148148,0.4086569064529228,0.6157908361892006,0.642396101501117,False
934,1010,362.0,357.14004977605475,57.68385454313166,0.3584158415841584,0.35360400967926214,0.48118319048962577,0.6398890591918127,False
074,1096,374.0,368.9489033868895,63.05980735211993,0.34124087591240876,0.33663221111942476,0.46086647929839963,0.6360765070741116,False
410,1163,477.0,472.10214585061976,61.547263877769666,0.410146173688736,0.4059347771716421,0.42113965170939016,0.6243116985044239,False
856,708,256.0,252.30591997807076,39.36403977003009,0.3615819209039548,0.35636429375433726,0.5217627149617543,0.5887846349413357,False
156,600,272.0,268.59472829530677,33.541282414422895,0.4533333333333333,0.4476578804921779,0.5675452841155393,0.5879791662243451,False
483,2026,720.0,713.6338299217673,119.7809509595386,0.35538005923000987,0.3522378232585229,0.3142235971486995,0.581680304095415,False
721,666,322.0,318.62150671210264,34.491814732930955,0.48348348348348347,0.4784106707388929,0.5072812744590594,0.5752611406748299,False
907,1693,626.0,620.6832185944851,92.34681699802823,0.36975782634376847,0.36661737660631133,0.31404497374571405,0.5532709141813235,False
458,656,297.0,293.81685548750045,34.96624118455885,0.4527439024390244,0.44789154799923847,0.4852354439785933,0.5383092980368956,False
604,3477,1414.0,1407.0886577401018,187.08838195344637,0.40667241875179755,0.4046846872994253,0.19877314523722434,0.505288007613046,False
371,1281,545.0,540.8777090247112,67.66626890799796,0.42544886807181886,0.4222308423299853,0.32180257418335523,0.5011324531493914,False
794,592,259.0,256.31385910446545,29.042128148342385,0.4375,0.43296259983862406,0.45374001613759374,0.49844193138266774,False
756,566,278.0,275.2970785483802,30.000066015451665,0.4911660777385159,0.4863905981420145,0.4775479596501375,0.49348314044734454,False
189,614,220.0,217.18140404981034,35.81404441673076,0.3583061889250814,0.3537156417749354,0.4590547150146007,0.47098398467743025,False
959,965,352.0,348.5406114656338,59.00276080727852,0.36476683937823834,0.3611819807934029,0.35848585848354264,0.45036348906518037,False
443,502,225.0,222.6642217920454,27.07905649947843,0.448207171314741,0.44355422667738126,0.4652944637359768,0.4488640648945408,False
919,1702,613.0,608.7124454470461,94.3994179705348,0.3601645123384254,0.3576453851040224,0.2519127234403007,0.4412909291963216,False
403,555,237.0,234.5869249765,30.352154987523193,0.42702702702702705,0.4226791441018018,0.4347882925225255,0.4380019650420278,False
481,3398,1281.0,1274.9697045150237,189.56835360286078,0.37698646262507357,0.3752118023881765,0.17746602368970965,0.43798140658144624,False
305,1373,571.0,567.2371270622529,76.11084169240698,0.415877640203933,0.41313701898197586,0.2740621221957118,0.4313167173404682,False
757,635,315.0,312.5130077513499,33.44398253419013,0.49606299212598426,0.4921464688997636,0.39165232262206584,0.4300465200625553,False
