cutoff_type,rejection_rate,replicate,n_pool,n_accepted,n_rejected,realised_rejection_rate,truth_ttd_bad_rate,truth_reject_bad_rate,truth_accepted_bad_rate,oracle_ttd_gini,baseline_reported_gini,baseline_actual_ttd_gini,reject_bad_scale,method,est_ttd_bad_rate,est_reject_bad_rate,claimed_gini,actual_ttd_gini,bad_rate_bias,gini_bias,gini_uplift,reject_bad_rate_bias
risk_hard,0.3,3,60000,29382,12628,0.3005950964056177,0.19911061700944968,0.26032447814941406,0.17268820106983185,0.2834769853028485,0.26357744825641904,0.27227905676820163,2.0,heckman,0.19069178038850107,0.21950916321233804,0.2682460146093941,0.2712351782975584,-0.008418836620948611,-0.0029891636881642647,-0.0010438784706432447,-0.04081531493707602
risk_hard,0.3,4,60000,29339,12526,0.29919980890959036,0.20612076095947063,0.26200953125953674,0.18208342790603638,0.2835210340659744,0.2674157127903909,0.2760468980350932,2.0,none (biased baseline),0.18208342790603638,,0.2674157127903909,0.2760468980350932,-0.02403733305343425,-0.0086311852447023,0.0,
risk_hard,0.3,4,60000,29339,12526,0.29919980890959036,0.20612076095947063,0.26200953125953674,0.18208342790603638,0.2835210340659744,0.2674157127903909,0.2760468980350932,2.0,parcelling,0.25861698331676847,0.45002395018361807,0.42883300991863615,0.2589480382278977,0.05249622235729784,0.16988497169073846,-0.0170988598071955,0.18801441892408133
risk_hard,0.3,4,60000,29339,12526,0.29919980890959036,0.20612076095947063,0.26200953125953674,0.18208342790603638,0.2835210340659744,0.2674157127903909,0.2760468980350932,2.0,fuzzy,0.25851511578239106,0.4496834836079588,0.4264920042812388,0.26114651137303335,0.05239435482292043,0.16534549290820544,-0.014900386662059839,0.18767395234842205
risk_hard,0.3,4,60000,29339,12526,0.29919980890959036,0.20612076095947063,0.26200953125953674,0.18208342790603638,0.2835210340659744,0.2674157127903909,0.2760468980350932,2.0,ipw,0.18558138026359017,0.20592084290106108,0.2894801899847832,0.27652807476202335,-0.02053938069588046,0.012952115222759852,0.0004811767269301548,-0.056088688358475663
risk_hard,0.3,4,60000,29339,12526,0.29919980890959036,0.20612076095947063,0.26200953125953674,0.18208342790603638,0.2835210340659744,0.2674157127903909,0.2760468980350932,2.0,heckman,0.19015596797724432,0.22121025010464818,0.27082411574846255,0.27573966590522003,-0.015964792982226306,-0.004915550156757487,-0.0003072321298731584,-0.04079928115488857
risk_hard,0.5,0,60000,21030,20997,0.49960739524591335,0.20180270405608414,0.23842233419418335,0.16485972702503204,0.2840796893629425,0.2587867927267449,0.2695678249367488,2.0,none (biased baseline),0.16485972702503204,,0.2587867927267449,0.2695678249367488,-0.03694297703105209,-0.010781032210003927,0.0,
risk_hard,0.5,0,60000,21030,20997,0.49960739524591335,0.20180270405608414,0.23842233419418335,0.16485972702503204,0.2840796893629425,0.2587867927267449,0.2695678249367488,2.0,parcelling,0.2630451858216697,0.3707196266133257,0.39064745192591066,0.2488499497107044,0.061242481765585555,0.14179750221520626,-0.020717875226044402,0.13229729241914234
risk_hard,0.5,0,60000,21030,20997,0.49960739524591335,0.20180270405608414,0.23842233419418335,0.16485972702503204,0.2840796893629425,0.2587867927267449,0.2695678249367488,2.0,fuzzy,0.26655991877688984,0.3777546164646873,0.40306335993842746,0.24902476204401447,0.0647572147208057,0.154038597894413,-0.02054306289273433,0.13933228227050393
risk_hard,0.5,0,60000,21030,20997,0.49960739524591335,0.20180270405608414,0.23842233419418335,0.16485972702503204,0.2840796893629425,0.2587867927267449,0.2695678249367488,2.0,ipw,0.16110650062411708,0.16668204396830294,0.25747379014102534,0.2651302707427152,-0.04069620343196706,-0.007656480601689886,-0.004437554194033577,-0.07174029022588041
