cutoff_type,rejection_rate,method,bad_rate_bias,bad_rate_bias_sd,abs_bad_rate_bias,gini_bias,gini_bias_sd,abs_gini_bias,gini_uplift,gini_uplift_sd,actual_ttd_gini,truth_ttd_bad_rate,oracle_ttd_gini,realised_rejection_rate,n_reps
risk_hard,0.5,none (biased baseline),-0.040462154320990186,0.005187970679976872,0.040462154320990186,-0.004132409348019195,0.0062906675143393305,0.006375067785048394,0.0,0.0,0.25901799899081046,0.1995662035267702,0.27888260065956894,0.49953567019922457,5
risk_hard,0.5,parcelling,0.07194476494479829,0.008026400205486783,0.07194476494479829,0.15750532710440526,0.01268729741657724,0.15750532710440526,-0.005337784437160797,0.010029315432401367,0.2536802145536497,0.1995662035267702,0.27888260065956894,0.49953567019922457,5
risk_hard,0.7,fuzzy,0.06767558870073868,0.012848366350243733,0.06767558870073868,0.11935849285299933,0.021703931569613706,0.11935849285299933,0.022253230071270204,0.006335382204169814,0.2508577435645639,0.1995662035267702,0.27888260065956894,0.698989981120572,5
risk_hard,0.7,heckman,-0.04660192067967521,0.008175104112744429,0.04660192067967521,0.021353910507492645,0.018157152818752888,0.024674933279496346,-0.0004930589455885315,0.000726336765397694,0.22811145454770515,0.1995662035267702,0.27888260065956894,0.698989981120572,5
risk_hard,0.7,ipw,-0.06015293355111515,0.007224182499217142,0.06015293355111515,0.05901594494636422,0.027014645280824687,0.05901594494636422,-0.00566116580792615,0.012263931423374761,0.22294334768536755,0.1995662035267702,0.27888260065956894,0.698989981120572,5
risk_hard,0.7,none (biased baseline),-0.06500926928929004,0.005805359664539518,0.06500926928929004,0.019647750502255958,0.012969756337472632,0.019647750502255958,0.0,0.0,0.2286045134932937,0.1995662035267702,0.27888260065956894,0.698989981120572,5
risk_hard,0.7,parcelling,0.06821094066304803,0.014062697406035746,0.06821094066304803,0.11550253110416167,0.024551759749280536,0.11550253110416167,0.02280742760764758,0.005443239027182195,0.2514119411009413,0.1995662035267702,0.27888260065956894,0.698989981120572,5
risk_soft,0.1,fuzzy,0.02294537592671944,0.00560117800816129,0.02294537592671944,0.05834518163145934,0.010248004753410775,0.05834518163145934,-0.00418098679092731,0.0045817618469324774,0.2732617734503501,0.1995662035267702,0.27888260065956894,0.09851971098478801,5
risk_soft,0.1,heckman,-0.012040384799640303,0.005141180187986033,0.012040384799640303,-0.00299959936162848,0.010461183729171566,0.007890495623588923,-0.0017218692002793467,0.001140195315533581,0.275720891040998,0.1995662035267702,0.27888260065956894,0.09851971098478801,5
risk_soft,0.1,ipw,-0.0003543306357823517,0.005502997372905687,0.0040794134981514294,0.011556971956108475,0.008430865060508443,0.011556971956108475,0.0005006876221482325,0.0014573420735527164,0.2779434478634256,0.1995662035267702,0.27888260065956894,0.09851971098478801,5
risk_soft,0.1,none (biased baseline),-0.004560181669508556,0.0019282937141306914,0.004560181669508556,0.0001887794767773343,0.003549787756735078,0.00258850069491805,0.0,0.0,0.27744276024127734,0.1995662035267702,0.27888260065956894,0.09851971098478801,5
risk_soft,0.1,parcelling,0.022426833670585213,0.005779667574559439,0.022426833670585213,0.05736980083132796,0.009004163472119032,0.05736980083132796,-0.0036184615070503855,0.004522587446012685,0.273824298734227,0.1995662035267702,0.27888260065956894,0.09851971098478801,5
risk_soft,0.3,fuzzy,0.06743441712353239,0.006111807783768676,0.06743441712353239,0.13212676695935568,0.015264397404716143,0.13212676695935568,-0.00913366989512876,0.007001522141724858,0.2646888553656454,0.1995662035267702,0.27888260065956894,0.2992697492055786,5
risk_soft,0.3,heckman,-0.017814673101857432,0.0038514228251932095,0.017814673101857432,-0.004853199015398291,0.010927040487676504,0.007716510007859378,-0.002245986085849161,0.0010544939318773395,0.271576539174925,0.1995662035267702,0.27888260065956894,0.2992697492055786,5
risk_soft,0.3,ipw,-0.0008352349218186617,0.00497401268917475,0.0038453396764724923,0.021109477424770696,0.010009995721621003,0.021109477424770696,-0.001366419084290671,0.0015048916287261334,0.2724561061764835,0.1995662035267702,0.27888260065956894,0.2992697492055786,5
risk_soft,0.3,none (biased baseline),-0.016672238878523447,0.0009815320308668779,0.016672238878523447,0.0014108576677652085,0.0074944312299983235,0.004909643148181386,0.0,0.0,0.27382252526077416,0.1995662035267702,0.27888260065956894,0.2992697492055786,5
risk_soft,0.3,parcelling,0.06702266338305414,0.006694988338753238,0.06702266338305414,0.13076260267310932,0.019290520134727075,0.13076260267310932,-0.009860070751589678,0.00933260739529519,0.2639624545091845,0.1995662035267702,0.27888260065956894,0.2992697492055786,5
risk_soft,0.5,fuzzy,0.10502243650924177,0.011085884134599015,0.10502243650924177,0.15579578262125623,0.019184827627138423,0.15579578262125623,-0.0063666153602957905,0.00888828644345412,0.26397690195788615,0.1995662035267702,0.27888260065956894,0.4984214488495481,5
risk_soft,0.5,heckman,-0.02319632303070901,0.008880274662487645,0.02319632303070901,-0.0013071679642354893,0.012930568640656127,0.009112633129598447,-0.00314001310809231,0.00280020963175002,0.26720350421008965,0.1995662035267702,0.27888260065956894,0.4984214488495481,5
risk_soft,0.5,ipw,-0.001490884654154262,0.007542187407096554,0.004701587469376272,0.0378473050862139,0.013177916519887655,0.0378473050862139,-0.00574936955789318,0.004957809160278802,0.2645941477602888,0.1995662035267702,0.27888260065956894,0.4984214488495481,5
risk_soft,0.5,none (biased baseline),-0.030749204925810437,0.005044829412763964,0.030749204925810437,0.011314589608105363,0.006890541886034652,0.011314589608105363,0.0,0.0,0.27034351731818196,0.1995662035267702,0.27888260065956894,0.4984214488495481,5
risk_soft,0.5,parcelling,0.1041527714587818,0.010389994694684133,0.10415277145878181,0.15325500755901075,0.0214175854183374,0.15325500755901075,-0.006184202724578603,0.01052695494542984,0.2641593145936033,0.1995662035267702,0.27888260065956894,0.4984214488495481,5
risk_soft,0.7,fuzzy,0.13496350537340407,0.00799277382016075,0.13496350537340407,0.14204334336040758,0.009539892091327119,0.14204334336040758,0.002791975789283274,0.005510815734424125,0.26268108947639435,0.1995662035267702,0.27888260065956894,0.6997114877679165,5
risk_soft,0.7,heckman,-0.031176040525935866,0.008872304413181493,0.031176040525935866,0.0047844883347055054,0.015024050807785731,0.013316384349128851,-0.0034970517084992104,0.0011439639719443358,0.25639206197861186,0.1995662035267702,0.27888260065956894,0.6997114877679165,5
risk_soft,0.7,ipw,-0.001078692072820292,0.007665474758711741,0.005329838974165085,0.0830605339987824,0.026901714357810406,0.0830605339987824,-0.013197186620193646,0.007432313445442037,0.2466919270669174,0.1995662035267702,0.27888260065956894,0.6997114877679165,5
risk_soft,0.7,none (biased baseline),-0.05279070752075825,0.0052435282554010075,0.05279070752075825,0.02225964395950264,0.02188507755377108,0.02692773684620713,0.0,0.0,0.25988911368711104,0.1995662035267702,0.27888260065956894,0.6997114877679165,5
risk_soft,0.7,parcelling,0.13413480556323834,0.008323927651066286,0.13413480556323834,0.13063417598055738,0.011292229737813818,0.13063417598055738,0.0017469000991507055,0.006762806859578232,0.2616360137862618,0.1995662035267702,0.27888260065956894,0.6997114877679165,5
